n,mse,coef_rmse,coef_max_abs_error
100,6.245520950256894e-03,2.346803621141391e-02,8.899752796104565e-02
200,4.779911241952461e-03,1.571434323866753e-02,6.160321019246350e-02
300,1.730236858676445e-03,1.170412920921409e-02,4.535431245290784e-02
400,9.557815060156359e-04,8.728790945385942e-03,3.336666070318112e-02
500,6.478262187350179e-04,5.958768049335747e-03,2.216520650946456e-02
600,2.687589426249024e-04,4.298555432544814e-03,1.564388570178746e-02
700,1.356291120941857e-04,3.143674908302978e-03,1.113772809940269e-02
800,7.468628856058242e-05,2.273813281971412e-03,8.317914552818939e-03
900,3.494590916392422e-05,1.719314065227785e-03,6.202388790767677e-03
1000,2.002463386822368e-05,1.300994947108112e-03,4.391142455069871e-03
1100,1.441130821287214e-05,8.878314929333692e-04,2.939569570532805e-03
1200,4.734296304041089e-06,6.990432238983352e-04,2.129834837418271e-03
1300,3.244355442950871e-06,5.333908610456071e-04,1.635843443760152e-03
1400,2.009544448663526e-06,3.966753596229457e-04,1.132909360396214e-03
1500,1.039977302083030e-06,3.026288177142613e-04,8.201654709072970e-04
1600,6.166321342122877e-07,2.287749728279795e-04,5.796929357453906e-04
1700,3.172277668178736e-07,1.797522549753826e-04,4.085191980224140e-04
1800,2.546408072111077e-07,1.270656198335498e-04,3.071635820170310e-04
1900,1.133382472506018e-07,9.433091215721959e-05,2.326448400938874e-04
2000,5.477915914679660e-08,7.359142486746804e-05,1.809909683130745e-04
2100,3.421604867808141e-08,5.712125873623180e-05,1.413613838350952e-04
2200,1.550955975084627e-08,4.773327482429108e-05,1.142286876195941e-04
2300,1.620199529290247e-08,3.537490996675116e-05,8.508110011942738e-05
2400,8.030755397926277e-09,2.723146975731501e-05,6.389809953731562e-05
2500,5.011906733431206e-09,2.064468394070970e-05,4.863409542156527e-05
2600,2.964970449704633e-09,1.545209033630596e-05,3.503950463767946e-05
2700,2.215785266393840e-09,9.912612234715235e-06,2.281282709645782e-05
2800,6.738324785821091e-10,7.440744896421729e-06,1.731639240465377e-05
2900,4.678009826853150e-10,5.065864302793492e-06,1.201144481426109e-05
3000,2.292168431753140e-10,3.353379401828979e-06,7.675093055242721e-06
3100,7.288493968978483e-11,2.572603937477868e-06,6.009704236364932e-06
3200,5.775750712138406e-11,1.722025889430594e-06,4.795776407093277e-06
3300,2.444816188259295e-11,1.190107129545649e-06,3.323483645872871e-06
3400,1.174856404081353e-11,8.228060200618839e-07,2.419414076290649e-06
3500,5.207362941931310e-12,5.901525565875713e-07,1.808554101284665e-06
3600,2.339094720247087e-12,4.456781550215076e-07,1.325855371034357e-06
3700,1.531170499765408e-12,3.193801702422223e-07,9.053989192958634e-07
3800,7.244668360988029e-13,2.368232172651796e-07,6.943480302668004e-07
3900,4.323367387027036e-13,1.694545679917839e-07,4.960134385861847e-07
4000,2.667703179333603e-13,1.090787492406780e-07,3.090627970214754e-07
4100,1.007667943304957e-13,7.418758161078521e-08,2.220284494175440e-07
4200,3.644020799913821e-14,5.661053805440319e-08,1.751356648732605e-07
4300,2.415909551290942e-14,4.089808633637000e-08,1.195517113222744e-07
4400,9.877573328291844e-15,3.235879303504410e-08,9.233979517131452e-08
4500,8.846277585393014e-15,2.213566362571782e-08,6.468285897176518e-08
4600,2.882103725243233e-15,1.751293361007172e-08,4.854706213419657e-08
4700,2.307444500964136e-15,1.268743427333873e-08,3.347276433807167e-08
4800,1.640978535993506e-15,7.530229253026266e-09,2.137618830555521e-08
4900,4.033400384907128e-16,5.616385754668645e-09,1.545677588699057e-08
5000,2.206267238084451e-16,4.194306233244080e-09,1.077812540606349e-08
5100,1.182514227305559e-16,3.176740710384873e-09,7.674099064547413e-09
5200,7.200477619954394e-17,2.345192087780627e-09,5.452706244857275e-09
5300,4.249210531088943e-17,1.680515188722883e-09,3.747570476164697e-09
5400,2.002967897678273e-17,1.246336390807991e-09,2.785312966380182e-09
5500,1.522207043188896e-17,7.718618274386418e-10,1.885497993847629e-09
5600,5.765814938509331e-18,4.823465512271425e-10,1.193857207537619e-09
5700,1.500505393140535e-18,3.700427866045793e-10,7.970141491231431e-10
5800,7.301101228347074e-19,3.011604907021868e-10,6.464788704363400e-10
5900,6.578833517191854e-19,2.219417059321448e-10,4.790713797886426e-10
6000,3.164617417528640e-19,1.708788701877903e-10,3.785058516614370e-10
6100,1.980373944158688e-19,1.292093467675029e-10,2.736166709871313e-10
6200,1.078138844844965e-19,9.916139218706940e-11,1.976244584644959e-10
6300,8.409861233004817e-20,6.708915373216961e-11,1.461307949646162e-10
6400,2.839546081804044e-20,5.195543308945775e-11,1.182237432950650e-10
6500,2.494856102289050e-20,3.363157747372975e-11,8.331943468498082e-11
6600,8.173037245781820e-21,2.474595337057585e-11,6.257505624773785e-11
6700,3.427857922367700e-21,1.991232504652754e-11,4.908043416129715e-11
6800,3.913813503123450e-21,1.222233709049898e-11,3.100160406166452e-11
6900,6.908719223864693e-22,1.027444860561101e-11,2.408460930691803e-11
7000,6.216230843796691e-22,8.147939310323541e-12,1.877092925539614e-11
7100,3.634052711085353e-22,6.581414797516691e-12,1.435294938456622e-11
7200,3.119156488943594e-22,4.870563377592980e-12,9.711745296847596e-12
7300,1.834390942325656e-22,3.479859296626286e-12,6.888947745586904e-12
7400,9.097455341973566e-23,2.513600992170214e-12,4.824571298023272e-12
7500,5.505440414796871e-23,1.681939479452788e-12,3.151756633457126e-12
7600,2.138434897533762e-23,1.216983397269274e-12,2.255487463465045e-12
7700,8.894957461045243e-24,9.568283543790418e-13,1.704525409707003e-12
