n,i,h,w,h_minus_w
100,0,1.200000000000000e-01,3.100247203895434e-02,8.899752796104565e-02
100,1,-8.000000000000000e-02,-1.615276136886683e-02,-6.384723863113317e-02
100,2,5.500000000000000e-02,1.510908831279449e-02,3.989091168720552e-02
100,3,4.000000000000000e-02,9.742812714321432e-03,3.025718728567857e-02
100,4,-3.000000000000000e-02,-4.059223326270205e-03,-2.594077667372979e-02
100,5,2.500000000000000e-02,4.244085719679025e-03,2.075591428032098e-02
100,6,2.000000000000000e-02,5.837550938570511e-03,1.416244906142949e-02
100,7,-1.800000000000000e-02,-3.160374944700461e-03,-1.483962505529954e-02
100,8,1.500000000000000e-02,2.741315467351371e-03,1.225868453264863e-02
100,9,1.200000000000000e-02,2.520175450710749e-03,9.479824549289251e-03
100,10,-1.000000000000000e-02,-2.706252362756722e-03,-7.293747637243278e-03
100,11,8.999999999999999e-03,7.397956962625567e-04,8.260204303737443e-03
100,12,8.000000000000000e-03,3.508473987109730e-03,4.491526012890270e-03
100,13,-7.000000000000000e-03,-5.765363398151829e-03,-1.234636601848171e-03
100,14,6.000000000000000e-03,1.961904720929179e-03,4.038095279070820e-03
100,15,5.000000000000000e-03,3.700210798359498e-03,1.299789201640502e-03
100,16,-4.000000000000000e-03,-5.782653103446518e-03,1.782653103446518e-03
100,17,3.500000000000000e-03,3.215242831178261e-03,2.847571688217388e-04
100,18,3.000000000000000e-03,-1.762604232609471e-03,4.762604232609471e-03
100,19,-2.500000000000000e-03,-4.805844178654380e-03,2.305844178654380e-03
100,20,2.000000000000000e-03,1.354584677634413e-03,6.454153223655868e-04
100,21,1.800000000000000e-03,-3.358743368057679e-03,5.158743368057679e-03
100,22,-1.500000000000000e-03,6.320373974692713e-04,-2.132037397469271e-03
100,23,1.200000000000000e-03,-2.612498657620414e-03,3.812498657620414e-03
100,24,1.000000000000000e-03,8.435971498194658e-04,1.564028501805342e-04
100,25,-8.000000000000000e-04,-2.610870824511921e-03,1.810870824511921e-03
100,26,5.999999999999999e-04,-5.864923544068403e-04,1.186492354406840e-03
100,27,5.000000000000000e-04,-2.531482451508779e-03,3.031482451508779e-03
100,28,-4.000000000000000e-04,-1.551800854755619e-03,1.151800854755619e-03
100,29,3.000000000000000e-04,-2.159284581651676e-04,5.159284581651676e-04
200,0,1.200000000000000e-01,5.839678980753650e-02,6.160321019246350e-02
200,1,-8.000000000000000e-02,-4.044574386542794e-02,-3.955425613457206e-02
200,2,5.500000000000000e-02,2.585902981779365e-02,2.914097018220635e-02
200,3,4.000000000000000e-02,1.898192305388320e-02,2.101807694611680e-02
200,4,-3.000000000000000e-02,-1.701734504876538e-02,-1.298265495123462e-02
200,5,2.500000000000000e-02,1.137092635643640e-02,1.362907364356360e-02
200,6,2.000000000000000e-02,9.191271014855909e-03,1.080872898514409e-02
200,7,-1.800000000000000e-02,-1.032321806637980e-02,-7.676781933620201e-03
200,8,1.500000000000000e-02,8.486391548102051e-03,6.513608451897948e-03
200,9,1.200000000000000e-02,7.175179956437132e-03,4.824820043562868e-03
200,10,-1.000000000000000e-02,-9.292869723186398e-03,-7.071302768136018e-04
200,11,8.999999999999999e-03,3.195950671788489e-03,5.804049328211510e-03
200,12,8.000000000000000e-03,6.533570556331028e-03,1.466429443668972e-03
200,13,-7.000000000000000e-03,-7.262168085478859e-03,2.621680854788585e-04
200,14,6.000000000000000e-03,3.018624201277069e-03,2.981375798722931e-03
200,15,5.000000000000000e-03,3.666200114485313e-03,1.333799885514687e-03
200,16,-4.000000000000000e-03,-4.038092605416039e-03,3.809260541603847e-05
200,17,3.500000000000000e-03,2.101446079802509e-03,1.398553920197491e-03
200,18,3.000000000000000e-03,-5.125863778233451e-04,3.512586377823345e-03
200,19,-2.500000000000000e-03,-5.966554597902579e-03,3.466554597902579e-03
200,20,2.000000000000000e-03,-2.362668276778594e-04,2.236266827677860e-03
200,21,1.800000000000000e-03,2.317618354027958e-03,-5.176183540279581e-04
200,22,-1.500000000000000e-03,-3.033962997452732e-03,1.533962997452732e-03
200,23,1.200000000000000e-03,-4.007654248118169e-03,5.207654248118168e-03
200,24,1.000000000000000e-03,4.327788526545938e-03,-3.327788526545938e-03
200,25,-8.000000000000000e-04,-3.279259515844932e-03,2.479259515844932e-03
200,26,5.999999999999999e-04,-3.696963935927655e-03,4.296963935927655e-03
200,27,5.000000000000000e-04,2.756819520978573e-03,-2.256819520978573e-03
200,28,-4.000000000000000e-04,-3.943964267495753e-03,3.543964267495753e-03
200,29,3.000000000000000e-04,-4.299639181393404e-04,7.299639181393403e-04
300,0,1.200000000000000e-01,7.464568754709215e-02,4.535431245290784e-02
300,1,-8.000000000000000e-02,-5.188151982550093e-02,-2.811848017449908e-02
300,2,5.500000000000000e-02,3.282076050203050e-02,2.217923949796950e-02
300,3,4.000000000000000e-02,2.263503688620108e-02,1.736496311379892e-02
300,4,-3.000000000000000e-02,-2.139234594605582e-02,-8.607654053944175e-03
300,5,2.500000000000000e-02,1.507673819497456e-02,9.923261805025441e-03
300,6,2.000000000000000e-02,1.234757485876590e-02,7.652425141234103e-03
300,7,-1.800000000000000e-02,-1.233290378616356e-02,-5.667096213836443e-03
300,8,1.500000000000000e-02,8.223685355453002e-03,6.776314644546998e-03
300,9,1.200000000000000e-02,8.734693089068549e-03,3.265306910931451e-03
300,10,-1.000000000000000e-02,-1.141704971301336e-02,1.417049713013360e-03
300,11,8.999999999999999e-03,5.780578930550538e-03,3.219421069449461e-03
300,12,8.000000000000000e-03,6.285015170902129e-03,1.714984829097871e-03
300,13,-7.000000000000000e-03,-5.218189531361292e-03,-1.781810468638709e-03
300,14,6.000000000000000e-03,2.907319860082923e-04,5.709268013991708e-03
300,15,5.000000000000000e-03,5.635517825846797e-03,-6.355178258467967e-04
300,16,-4.000000000000000e-03,-6.408067518585726e-03,2.408067518585725e-03
300,17,3.500000000000000e-03,2.373517913791920e-03,1.126482086208080e-03
300,18,3.000000000000000e-03,-7.089731310796675e-04,3.708973131079667e-03
300,19,-2.500000000000000e-03,-3.073754253446475e-03,5.737542534464748e-04
300,20,2.000000000000000e-03,-2.280935183013633e-03,4.280935183013633e-03
300,21,1.800000000000000e-03,3.907716120188630e-03,-2.107716120188630e-03
300,22,-1.500000000000000e-03,-3.760248286687934e-03,2.260248286687934e-03
300,23,1.200000000000000e-03,-2.282643053937196e-03,3.482643053937196e-03
300,24,1.000000000000000e-03,4.154948030400658e-03,-3.154948030400658e-03
300,25,-8.000000000000000e-04,-4.745488443740778e-03,3.945488443740777e-03
300,26,5.999999999999999e-04,-1.380224598504044e-03,1.980224598504044e-03
300,27,5.000000000000000e-04,1.730438798509368e-03,-1.230438798509368e-03
300,28,-4.000000000000000e-04,-2.391274353795220e-03,1.991274353795220e-03
300,29,3.000000000000000e-04,-7.429469951274507e-04,1.042946995127451e-03
400,0,1.200000000000000e-01,8.663333929681888e-02,3.336666070318112e-02
400,1,-8.000000000000000e-02,-5.983107373196300e-02,-2.016892626803700e-02
400,2,5.500000000000000e-02,3.799452467216585e-02,1.700547532783415e-02
400,3,4.000000000000000e-02,2.728365515156310e-02,1.271634484843691e-02
400,4,-3.000000000000000e-02,-2.534842140929692e-02,-4.651578590703080e-03
400,5,2.500000000000000e-02,1.708359830304737e-02,7.916401696952631e-03
