n,i,h,w,h_minus_w
100,0,1.200000000000000e-01,3.241060045088152e-03,1.167589399549119e-01
100,1,-8.000000000000000e-02,3.211060045088151e-03,-8.321106004508816e-02
100,2,5.500000000000000e-02,3.201067545088151e-03,5.179893245491185e-02
100,3,4.000000000000000e-02,3.177330041338152e-03,3.682266995866185e-02
100,4,-3.000000000000000e-02,3.143610340715963e-03,-3.314361034071596e-02
100,5,2.500000000000000e-02,3.117424359794398e-03,2.188257564020561e-02
100,6,2.000000000000000e-02,3.085021111348985e-03,1.691497888865101e-02
100,7,-1.800000000000000e-02,3.047666467776240e-03,-2.104766646777624e-02
100,8,1.500000000000000e-02,3.014877194829747e-03,1.198512280517025e-02
100,9,1.200000000000000e-02,2.978403500429146e-03,9.021596499570853e-03
100,10,-1.000000000000000e-02,2.939011871840948e-03,-1.293901187184095e-02
100,11,8.999999999999999e-03,2.902218722324219e-03,6.097781277675780e-03
100,12,8.000000000000000e-03,2.863276753968662e-03,5.136723246031338e-03
100,13,-7.000000000000000e-03,2.822451611518172e-03,-9.822451611518172e-03
100,14,6.000000000000000e-03,2.783509150780647e-03,3.216490849219353e-03
100,15,5.000000000000000e-03,2.743202988655701e-03,2.256797011344299e-03
100,16,-4.000000000000000e-03,2.701797974638725e-03,-6.701797974638725e-03
100,17,3.500000000000000e-03,2.661558580677817e-03,8.384414193221830e-04
100,18,3.000000000000000e-03,2.620615204141243e-03,3.793847958587573e-04
100,19,-2.500000000000000e-03,2.579106072799082e-03,-5.079106072799083e-03
100,20,2.000000000000000e-03,2.538419109830797e-03,-5.384191098307973e-04
100,21,1.800000000000000e-03,2.497435581677355e-03,-6.974355816773549e-04
100,22,-1.500000000000000e-03,2.456217217046717e-03,-3.956217217046717e-03
100,23,1.200000000000000e-03,2.415600553421548e-03,-1.215600553421548e-03
100,24,1.000000000000000e-03,2.374917435612223e-03,-1.374917435612223e-03
100,25,-8.000000000000000e-04,2.334228416509754e-03,-3.134228416509754e-03
100,26,5.999999999999999e-04,2.293993703776675e-03,-1.693993703776675e-03
100,27,5.000000000000000e-04,2.253870516676362e-03,-1.753870516676362e-03
100,28,-4.000000000000000e-04,2.213893161088975e-03,-2.613893161088975e-03
100,29,3.000000000000000e-04,2.174295646990701e-03,-1.874295646990701e-03
200,0,1.200000000000000e-01,4.868741217852044e-03,1.151312587821480e-01
200,1,-8.000000000000000e-02,4.838741217852043e-03,-8.483874121785205e-02
200,2,5.500000000000000e-02,4.828748717852043e-03,5.017125128214796e-02
200,3,4.000000000000000e-02,4.805011214102044e-03,3.519498878589795e-02
200,4,-3.000000000000000e-02,4.771291513479855e-03,-3.477129151347985e-02
200,5,2.500000000000000e-02,4.745105532558289e-03,2.025489446744171e-02
200,6,2.000000000000000e-02,4.712702284112876e-03,1.528729771588712e-02
200,7,-1.800000000000000e-02,4.675347640540131e-03,-2.267534764054013e-02
200,8,1.500000000000000e-02,4.642558367593638e-03,1.035744163240636e-02
200,9,1.200000000000000e-02,4.606084673193037e-03,7.393915326806963e-03
200,10,-1.000000000000000e-02,4.566693044604839e-03,-1.456669304460484e-02
200,11,8.999999999999999e-03,4.529899895088110e-03,4.470100104911889e-03
200,12,8.000000000000000e-03,4.490957926732554e-03,3.509042073267446e-03
200,13,-7.000000000000000e-03,4.450132784282064e-03,-1.145013278428206e-02
200,14,6.000000000000000e-03,4.411190323544537e-03,1.588809676455463e-03
200,15,5.000000000000000e-03,4.370884161419591e-03,6.291158385804095e-04
200,16,-4.000000000000000e-03,4.329479147402614e-03,-8.329479147402615e-03
200,17,3.500000000000000e-03,4.289239753441707e-03,-7.892397534417068e-04
200,18,3.000000000000000e-03,4.248296376905133e-03,-1.248296376905133e-03
200,19,-2.500000000000000e-03,4.206787245562973e-03,-6.706787245562973e-03
200,20,2.000000000000000e-03,4.166100282594689e-03,-2.166100282594689e-03
200,21,1.800000000000000e-03,4.125116754441246e-03,-2.325116754441246e-03
200,22,-1.500000000000000e-03,4.083898389810609e-03,-5.583898389810609e-03
200,23,1.200000000000000e-03,4.043281726185440e-03,-2.843281726185440e-03
200,24,1.000000000000000e-03,4.002598608376116e-03,-3.002598608376116e-03
200,25,-8.000000000000000e-04,3.961909589273647e-03,-4.761909589273647e-03
200,26,5.999999999999999e-04,3.921674876540568e-03,-3.321674876540568e-03
200,27,5.000000000000000e-04,3.881551689440255e-03,-3.381551689440255e-03
200,28,-4.000000000000000e-04,3.841574333852868e-03,-4.241574333852868e-03
200,29,3.000000000000000e-04,3.801976819754594e-03,-3.501976819754594e-03
300,0,1.200000000000000e-01,5.635433132977035e-03,1.143645668670230e-01
300,1,-8.000000000000000e-02,5.605433132977035e-03,-8.560543313297704e-02
300,2,5.500000000000000e-02,5.595440632977035e-03,4.940455936702297e-02
300,3,4.000000000000000e-02,5.571703129227035e-03,3.442829687077296e-02
300,4,-3.000000000000000e-02,5.537983428604846e-03,-3.553798342860484e-02
300,5,2.500000000000000e-02,5.511797447683281e-03,1.948820255231672e-02
300,6,2.000000000000000e-02,5.479394199237868e-03,1.452060580076213e-02
300,7,-1.800000000000000e-02,5.442039555665122e-03,-2.344203955566512e-02
300,8,1.500000000000000e-02,5.409250282718630e-03,9.590749717281369e-03
300,9,1.200000000000000e-02,5.372776588318028e-03,6.627223411681972e-03
300,10,-1.000000000000000e-02,5.333384959729830e-03,-1.533338495972983e-02
300,11,8.999999999999999e-03,5.296591810213101e-03,3.703408189786898e-03
300,12,8.000000000000000e-03,5.257649841857545e-03,2.742350158142455e-03
300,13,-7.000000000000000e-03,5.216824699407055e-03,-1.221682469940705e-02
300,14,6.000000000000000e-03,5.177882238669529e-03,8.221177613304716e-04
300,15,5.000000000000000e-03,5.137576076544582e-03,-1.375760765445818e-04
300,16,-4.000000000000000e-03,5.096171062527606e-03,-9.096171062527605e-03
300,17,3.500000000000000e-03,5.055931668566698e-03,-1.555931668566698e-03
300,18,3.000000000000000e-03,5.014988292030125e-03,-2.014988292030125e-03
300,19,-2.500000000000000e-03,4.973479160687964e-03,-7.473479160687965e-03
300,20,2.000000000000000e-03,4.932792197719680e-03,-2.932792197719680e-03
300,21,1.800000000000000e-03,4.891808669566238e-03,-3.091808669566238e-03
300,22,-1.500000000000000e-03,4.850590304935600e-03,-6.350590304935601e-03
300,23,1.200000000000000e-03,4.809973641310431e-03,-3.609973641310432e-03
300,24,1.000000000000000e-03,4.769290523501108e-03,-3.769290523501108e-03
300,25,-8.000000000000000e-04,4.728601504398638e-03,-5.528601504398638e-03
300,26,5.999999999999999e-04,4.688366791665559e-03,-4.088366791665559e-03
300,27,5.000000000000000e-04,4.648243604565246e-03,-4.148243604565246e-03
300,28,-4.000000000000000e-04,4.608266248977861e-03,-5.008266248977861e-03
300,29,3.000000000000000e-04,4.568668734879586e-03,-4.268668734879586e-03
400,0,1.200000000000000e-01,5.996570499774661e-03,1.140034295002253e-01
400,1,-8.000000000000000e-02,5.966570499774661e-03,-8.596657049977466e-02
400,2,5.500000000000000e-02,5.956577999774661e-03,4.904342200022534e-02
400,3,4.000000000000000e-02,5.932840496024661e-03,3.406715950397534e-02
400,4,-3.000000000000000e-02,5.899120795402472e-03,-3.589912079540247e-02
400,5,2.500000000000000e-02,5.872934814480907e-03,1.912706518551910e-02
400,6,2.000000000000000e-02,5.840531566035494e-03,1.415946843396451e-02
400,7,-1.800000000000000e-02,5.803176922462749e-03,-2.380317692246275e-02
400,8,1.500000000000000e-02,5.770387649516256e-03,9.229612350483744e-03
400,9,1.200000000000000e-02,5.733913955115654e-03,6.266086044884346e-03
400,10,-1.000000000000000e-02,5.694522326527457e-03,-1.569452232652746e-02
400,11,8.999999999999999e-03,5.657729177010727e-03,3.342270822989272e-03
400,12,8.000000000000000e-03,5.618787208655171e-03,2.381212791344829e-03
400,13,-7.000000000000000e-03,5.577962066204681e-03,-1.257796206620468e-02
400,14,6.000000000000000e-03,5.539019605467155e-03,4.609803945328454e-04
400,15,5.000000000000000e-03,5.498713443342208e-03,-4.987134433422080e-04
400,16,-4.000000000000000e-03,5.457308429325232e-03,-9.457308429325233e-03
400,17,3.500000000000000e-03,5.417069035364324e-03,-1.917069035364324e-03
400,18,3.000000000000000e-03,5.376125658827751e-03,-2.376125658827751e-03
400,19,-2.500000000000000e-03,5.334616527485590e-03,-7.834616527485591e-03
400,20,2.000000000000000e-03,5.293929564517306e-03,-3.293929564517306e-03
400,21,1.800000000000000e-03,5.252946036363864e-03,-3.452946036363864e-03
400,22,-1.500000000000000e-03,5.211727671733227e-03,-6.711727671733227e-03
400,23,1.200000000000000e-03,5.171111008108058e-03,-3.971111008108058e-03
400,24,1.000000000000000e-03,5.130427890298734e-03,-4.130427890298734e-03
400,25,-8.000000000000000e-04,5.089738871196264e-03,-5.889738871196265e-03
400,26,5.999999999999999e-04,5.049504158463185e-03,-4.449504158463185e-03
400,27,5.000000000000000e-04,5.009380971362872e-03,-4.509380971362872e-03
400,28,-4.000000000000000e-04,4.969403615775487e-03,-5.369403615775487e-03
400,29,3.000000000000000e-04,4.929806101677212e-03,-4.629806101677212e-03
500,0,1.200000000000000e-01,6.166678199001232e-03,1.138333218009988e-01
500,1,-8.000000000000000e-02,6.136678199001232e-03,-8.613667819900123e-02
500,2,5.500000000000000e-02,6.126685699001232e-03,4.887331430099877e-02
500,3,4.000000000000000e-02,6.102948195251232e-03,3.389705180474877e-02
500,4,-3.000000000000000e-02,6.069228494629043e-03,-3.606922849462904e-02
500,5,2.500000000000000e-02,6.043042513707478e-03,1.895695748629252e-02
500,6,2.000000000000000e-02,6.010639265262065e-03,1.398936073473794e-02
500,7,-1.800000000000000e-02,5.973284621689320e-03,-2.397328462168932e-02
500,8,1.500000000000000e-02,5.940495348742827e-03,9.059504651257173e-03
500,9,1.200000000000000e-02,5.904021654342225e-03,6.095978345657775e-03
500,10,-1.000000000000000e-02,5.864630025754027e-03,-1.586463002575403e-02
500,11,8.999999999999999e-03,5.827836876237298e-03,3.172163123762701e-03
500,12,8.000000000000000e-03,5.788894907881742e-03,2.211105092118258e-03
500,13,-7.000000000000000e-03,5.748069765431252e-03,-1.274806976543125e-02
500,14,6.000000000000000e-03,5.709127304693726e-03,2.908726953062745e-04
500,15,5.000000000000000e-03,5.668821142568779e-03,-6.688211425687788e-04
