n,mse,coef_rmse,coef_max_abs_error
100,2.292165482141550e-03,3.005032064497541e-02,1.135940899463009e-01
200,3.596358596049048e-05,3.003848516409353e-02,1.128333803994297e-01
300,3.795038644945017e-07,3.003836024593464e-02,1.127552364290237e-01
400,4.004694729955474e-09,3.003835892773950e-02,1.127472090812194e-01
500,4.225933219819253e-11,3.003835891382932e-02,1.127463844710487e-01
600,4.459393982036334e-13,3.003835891368253e-02,1.127462997628799e-01
700,4.705752232245217e-15,3.003835891368099e-02,1.127462910612241e-01
800,4.965720493559639e-17,3.003835891368097e-02,1.127462901673455e-01
900,5.240050949625800e-19,3.003835891368097e-02,1.127462900755217e-01
1000,5.529535447428386e-21,3.003835891368097e-02,1.127462900660891e-01
1100,5.834994217554093e-23,3.003835891368098e-02,1.127462900651202e-01
1200,6.157427535320408e-25,3.003835891368097e-02,1.127462900650206e-01
1300,6.499802464977577e-27,3.003835891368098e-02,1.127462900650104e-01
1400,6.862725682070320e-29,3.003835891368097e-02,1.127462900650094e-01
1500,7.385710225131723e-31,3.003835891368097e-02,1.127462900650093e-01
1600,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
1700,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
1800,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
1900,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
2000,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
2100,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
2200,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
2300,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
2400,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
2500,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
2600,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
2700,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
2800,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
2900,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
3000,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
3100,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
3200,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
3300,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
3400,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
3500,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
3600,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
3700,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
3800,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
3900,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
4000,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
4100,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
4200,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
4300,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
4400,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
4500,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
4600,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
4700,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
4800,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
4900,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
5000,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
5100,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
5200,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
5300,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
5400,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
5500,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
5600,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
5700,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
5800,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
5900,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
6000,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
6100,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
6200,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
6300,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
6400,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
6500,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
6600,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
6700,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
6800,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
6900,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
7000,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
7100,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
7200,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
7300,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
7400,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
7500,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
7600,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
7700,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
7800,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
7900,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
8000,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
8100,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
8200,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
8300,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
8400,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
8500,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
8600,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
8700,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
8800,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
8900,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
9000,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
9100,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
9200,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
9300,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
9400,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
9500,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
9600,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
9700,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
9800,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
9900,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
10000,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
10100,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
10200,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
10300,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
10400,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
10500,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
10600,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
10700,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
10800,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
10900,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
11000,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
11100,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
11200,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
11300,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
11400,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
11500,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
11600,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
11700,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
11800,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
11900,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
12000,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
12100,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
12200,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
12300,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
12400,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
12500,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
12600,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
12700,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
12800,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
12900,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
13000,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
13100,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
13200,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
13300,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
13400,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
13500,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
13600,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
13700,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
13800,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
13900,6.952607099237921e-32,3.003835891368097e-02,1.127462900650093e-01
