n,i,h,w,h_minus_w
100,0,1.200000000000000e-01,3.637087373262053e-03,1.163629126267379e-01
100,1,-8.000000000000000e-02,-1.927893740658653e-03,-7.807210625934134e-02
100,2,5.500000000000000e-02,1.469851642944459e-03,5.353014835705554e-02
100,3,4.000000000000000e-02,8.138967065267731e-04,3.918610329347322e-02
100,4,-3.000000000000000e-02,-5.851882646419524e-04,-2.941481173535805e-02
100,5,2.500000000000000e-02,1.344719140061920e-03,2.365528085993808e-02
100,6,2.000000000000000e-02,-4.293698956365192e-05,2.004293698956365e-02
100,7,-1.800000000000000e-02,-9.774800239456698e-05,-1.790225199760543e-02
100,8,1.500000000000000e-02,3.733160818257679e-04,1.462668391817423e-02
100,9,1.200000000000000e-02,-4.591827648635563e-04,1.245918276486356e-02
100,10,-1.000000000000000e-02,-7.834493562928384e-05,-9.921655064370717e-03
100,11,8.999999999999999e-03,1.949882272087062e-04,8.805011772791293e-03
100,12,8.000000000000000e-03,-5.012644174072069e-04,8.501264417407207e-03
100,13,-7.000000000000000e-03,4.506568857685657e-04,-7.450656885768566e-03
100,14,6.000000000000000e-03,-6.518676344867748e-04,6.651867634486775e-03
100,15,5.000000000000000e-03,-2.188127076076726e-04,5.218812707607673e-03
100,16,-4.000000000000000e-03,6.408535212035953e-04,-4.640853521203595e-03
100,17,3.500000000000000e-03,-7.721921858166554e-04,4.272192185816656e-03
100,18,3.000000000000000e-03,6.783474510983326e-04,2.321652548901668e-03
100,19,-2.500000000000000e-03,-1.521591561485076e-04,-2.347840843851492e-03
100,20,2.000000000000000e-03,-6.386826593744017e-05,2.063868265937440e-03
100,21,1.800000000000000e-03,-1.910210480164502e-04,1.991021048016450e-03
100,22,-1.500000000000000e-03,-1.236511693435769e-04,-1.376348830656423e-03
100,23,1.200000000000000e-03,-1.005519481284845e-04,1.300551948128484e-03
100,24,1.000000000000000e-03,-4.491625407689743e-04,1.449162540768974e-03
100,25,-8.000000000000000e-04,1.999717696339959e-04,-9.999717696339960e-04
100,26,5.999999999999999e-04,-5.133345279932789e-04,1.113334527993279e-03
100,27,5.000000000000000e-04,2.754015187015825e-04,2.245984812984175e-04
100,28,-4.000000000000000e-04,-2.724362812637376e-04,-1.275637187362624e-04
100,29,3.000000000000000e-04,-1.291963325113780e-05,3.129196332511378e-04
200,0,1.200000000000000e-01,8.840065612443319e-03,1.111599343875567e-01
200,1,-8.000000000000000e-02,-5.442865231518089e-03,-7.455713476848191e-02
200,2,5.500000000000000e-02,3.226928556631752e-03,5.177307144336825e-02
200,3,4.000000000000000e-02,3.104876170799155e-03,3.689512382920085e-02
200,4,-3.000000000000000e-02,-2.484932011754605e-03,-2.751506798824539e-02
200,5,2.500000000000000e-02,2.972611642458633e-03,2.202738835754137e-02
200,6,2.000000000000000e-02,6.998037945929805e-04,1.930019620540702e-02
200,7,-1.800000000000000e-02,-1.216882962618167e-03,-1.678311703738183e-02
200,8,1.500000000000000e-02,1.697562869675728e-03,1.330243713032427e-02
200,9,1.200000000000000e-02,-8.247919545710330e-04,1.282479195457103e-02
200,10,-1.000000000000000e-02,-4.672167663467768e-05,-9.953278323365322e-03
200,11,8.999999999999999e-03,1.717349071152832e-03,7.282650928847167e-03
200,12,8.000000000000000e-03,-1.235790121231339e-03,9.235790121231340e-03
200,13,-7.000000000000000e-03,-8.915316269451142e-05,-6.910846837305489e-03
200,14,6.000000000000000e-03,3.408527105156372e-04,5.659147289484363e-03
200,15,5.000000000000000e-03,-7.830638993071383e-04,5.783063899307138e-03
200,16,-4.000000000000000e-03,3.846721343023165e-04,-4.384672134302317e-03
200,17,3.500000000000000e-03,-1.784384573911111e-04,3.678438457391111e-03
200,18,3.000000000000000e-03,-1.519287734233193e-04,3.151928773423319e-03
200,19,-2.500000000000000e-03,2.517373627183727e-04,-2.751737362718373e-03
200,20,2.000000000000000e-03,-4.106991817191124e-04,2.410699181719113e-03
200,21,1.800000000000000e-03,-1.983859953442575e-04,1.998385995344258e-03
200,22,-1.500000000000000e-03,4.012504055686972e-04,-1.901250405568697e-03
200,23,1.200000000000000e-03,-7.878477226237885e-04,1.987847722623789e-03
200,24,1.000000000000000e-03,-8.443497983685223e-04,1.844349798368522e-03
200,25,-8.000000000000000e-04,9.552563925398291e-05,-8.955256392539830e-04
200,26,5.999999999999999e-04,-1.045787775100733e-03,1.645787775100732e-03
200,27,5.000000000000000e-04,5.785610209753322e-04,-7.856102097533214e-05
200,28,-4.000000000000000e-04,-6.563867578967299e-04,2.563867578967299e-04
200,29,3.000000000000000e-04,-8.484325906134267e-04,1.148432590613427e-03
300,0,1.200000000000000e-01,1.280322625229930e-02,1.071967737477007e-01
300,1,-8.000000000000000e-02,-7.486437502025743e-03,-7.251356249797426e-02
300,2,5.500000000000000e-02,5.204866814941421e-03,4.979513318505858e-02
300,3,4.000000000000000e-02,5.034530312109075e-03,3.496546968789092e-02
300,4,-3.000000000000000e-02,-3.730267309735736e-03,-2.626973269026426e-02
300,5,2.500000000000000e-02,4.291349484052006e-03,2.070865051594799e-02
300,6,2.000000000000000e-02,1.778033214394496e-03,1.822196678560550e-02
300,7,-1.800000000000000e-02,-2.004760163314267e-03,-1.599523983668573e-02
300,8,1.500000000000000e-02,2.950110442454062e-03,1.204988955754594e-02
300,9,1.200000000000000e-02,-2.209614037281101e-04,1.222096140372811e-02
300,10,-1.000000000000000e-02,-7.805998026647063e-04,-9.219400197335293e-03
300,11,8.999999999999999e-03,2.509752706028965e-03,6.490247293971034e-03
300,12,8.000000000000000e-03,-1.009028721274222e-03,9.009028721274223e-03
300,13,-7.000000000000000e-03,-4.489010032383294e-04,-6.551098996761671e-03
300,14,6.000000000000000e-03,1.112685616285140e-03,4.887314383714860e-03
300,15,5.000000000000000e-03,-6.279063063920700e-04,5.627906306392070e-03
300,16,-4.000000000000000e-03,3.991080980060742e-04,-4.399108098006074e-03
300,17,3.500000000000000e-03,3.705111739176428e-04,3.129488826082357e-03
300,18,3.000000000000000e-03,2.519183870406784e-05,2.974808161295932e-03
300,19,-2.500000000000000e-03,1.576548267517919e-04,-2.657654826751792e-03
300,20,2.000000000000000e-03,3.006340754991459e-04,1.699365924500854e-03
300,21,1.800000000000000e-03,-4.677096831889616e-04,2.267709683188962e-03
300,22,-1.500000000000000e-03,1.127420153480321e-03,-2.627420153480321e-03
300,23,1.200000000000000e-03,-1.385625078161325e-03,2.585625078161325e-03
300,24,1.000000000000000e-03,-5.066325902283818e-04,1.506632590228382e-03
300,25,-8.000000000000000e-04,6.539914121630353e-04,-1.453991412163035e-03
300,26,5.999999999999999e-04,-1.374563408043941e-03,1.974563408043941e-03
300,27,5.000000000000000e-04,8.742569487210436e-04,-3.742569487210436e-04
300,28,-4.000000000000000e-04,3.489288861936399e-04,-7.489288861936400e-04
300,29,3.000000000000000e-04,-1.271867653908201e-03,1.571867653908201e-03
400,0,1.200000000000000e-01,1.702086544509807e-02,1.029791345549019e-01
400,1,-8.000000000000000e-02,-1.133255030748036e-02,-6.866744969251964e-02
400,2,5.500000000000000e-02,7.369801173418967e-03,4.763019882658103e-02
400,3,4.000000000000000e-02,7.263062485773298e-03,3.273693751422670e-02
400,4,-3.000000000000000e-02,-5.678044663927930e-03,-2.432195533607207e-02
400,5,2.500000000000000e-02,5.016635870607828e-03,1.998336412939217e-02
400,6,2.000000000000000e-02,3.828064713807667e-03,1.617193528619233e-02
400,7,-1.800000000000000e-02,-3.935307199443075e-03,-1.406469280055692e-02
400,8,1.500000000000000e-02,3.209640182311391e-03,1.179035981768861e-02
400,9,1.200000000000000e-02,1.209499780414549e-03,1.079050021958545e-02
400,10,-1.000000000000000e-02,-2.103343381105486e-03,-7.896656618894514e-03
400,11,8.999999999999999e-03,2.323461313548078e-03,6.676538686451921e-03
400,12,8.000000000000000e-03,-2.980953089144997e-04,8.298095308914500e-03
400,13,-7.000000000000000e-03,-9.356560777668343e-04,-6.064343922233166e-03
400,14,6.000000000000000e-03,3.528789980889615e-04,5.647121001911039e-03
400,15,5.000000000000000e-03,9.512139309530925e-06,4.990487860690469e-03
400,16,-4.000000000000000e-03,7.150415528536130e-05,-4.071504155285361e-03
400,17,3.500000000000000e-03,-1.534659813264450e-04,3.653465981326445e-03
400,18,3.000000000000000e-03,8.099584275086662e-05,2.919004157249134e-03
400,19,-2.500000000000000e-03,2.829215342280976e-04,-2.782921534228098e-03
400,20,2.000000000000000e-03,-1.624183253859676e-04,2.162418325385967e-03
400,21,1.800000000000000e-03,-2.529850315522556e-04,2.052985031552255e-03
400,22,-1.500000000000000e-03,9.165500705228374e-04,-2.416550070522838e-03
400,23,1.200000000000000e-03,-2.081160071054673e-03,3.281160071054673e-03
400,24,1.000000000000000e-03,1.933427128388387e-04,8.066572871611613e-04
400,25,-8.000000000000000e-04,-2.194834699146214e-04,-5.805165300853787e-04
400,26,5.999999999999999e-04,-1.485194083761374e-03,2.085194083761374e-03
400,27,5.000000000000000e-04,1.327210999361364e-03,-8.272109993613639e-04
400,28,-4.000000000000000e-04,-1.799134489760731e-04,-2.200865510239269e-04
