n,mse,coef_rmse,coef_max_abs_error
100,1.876171356753922e-03,4.894227679150299e-03,9.593545099449534e-03
200,8.886341170191887e-05,4.387774795667566e-04,9.948451595327306e-04
300,7.969647548005872e-07,6.319058100066455e-05,1.413841726968165e-04
400,1.319323906731888e-08,5.298756262107754e-06,1.462722281329876e-05
500,8.615031602675400e-11,6.067092852068268e-07,1.395130722987512e-06
600,9.339091459340718e-13,2.336078164560534e-07,5.915301850758364e-07
700,1.735493436462519e-13,3.742206771391986e-08,7.515845724948012e-08
800,3.285734313078762e-15,1.107782010358302e-08,2.182215279311617e-08
900,3.423691574064357e-16,4.669413492092076e-10,1.175936341791389e-09
1000,6.218880397831707e-19,5.318531369650210e-11,1.388907517642368e-10
1100,8.725117799883911e-21,3.925850115066726e-12,1.079521194657929e-11
1200,4.803641642516991e-23,4.544763173675877e-13,1.003832433843499e-12
1300,6.169892549403655e-25,9.445975185479564e-14,1.796895965355816e-13
1400,2.602548232454156e-26,1.006773138759920e-14,2.971234369653075e-14
1500,3.757724422099989e-28,9.157613758198127e-16,2.567390744445674e-15
1600,2.688375207324648e-30,1.467360828439509e-16,3.018418848199644e-16
1700,7.952397958454100e-32,2.708980975664146e-17,5.681219383824043e-17
1800,4.321817945805254e-33,1.087695355914614e-17,2.775557561562891e-17
1900,2.728900261281394e-33,1.387216801806821e-17,2.710505431213761e-17
2000,3.035188597474305e-33,1.115273353776202e-17,3.122502256758253e-17
2100,3.625766245732794e-33,8.519143435972221e-18,2.775557561562891e-17
2200,1.342260323780225e-33,1.044132757482858e-17,2.612927235690066e-17
2300,2.331628309686532e-33,9.844482092485547e-18,2.775557561562891e-17
2400,2.915741796960414e-33,1.351339601676394e-17,2.775557561562891e-17
2500,2.708632857882256e-33,1.608485269622776e-17,4.163336342344337e-17
2600,2.847527507133891e-33,9.587365897201568e-18,2.309350627394124e-17
2700,1.140776830467362e-33,9.790061455597261e-18,2.775557561562891e-17
2800,1.364744239327273e-33,6.180158441548478e-18,1.387778780781446e-17
2900,9.135208586115905e-34,1.041155908352725e-17,2.157562323246154e-17
3000,2.509611437487191e-33,7.676529107124023e-18,2.081668171172169e-17
3100,1.028262742986315e-33,9.352597582977318e-18,1.908195823574488e-17
3200,2.857759480161189e-33,1.188566985240194e-17,2.428612866367530e-17
3300,2.032958705029605e-33,8.679928302870826e-18,2.081668171172169e-17
3400,1.436311156591775e-33,8.095930807134670e-18,1.626303258728257e-17
3500,2.216767935481244e-33,1.061792313860341e-17,3.469446951953614e-17
3600,1.304866908085087e-33,9.370715534428947e-18,2.081668171172169e-17
3700,1.237866198626353e-33,6.461616036621133e-18,1.387778780781446e-17
3800,1.202814720326359e-33,1.081211069564706e-17,2.634611279139776e-17
3900,2.271371763966771e-33,1.044089600568454e-17,2.667137344314341e-17
4000,1.424577790751730e-33,7.468033569185972e-18,1.734723475976807e-17
4100,1.874373474803621e-33,1.117234259464597e-17,2.775557561562891e-17
4200,2.119342963685093e-33,1.371208237412495e-17,2.558717127065790e-17
4300,2.806869861175955e-33,1.158254505291076e-17,2.775557561562891e-17
4400,4.493858753134544e-33,1.191293501711271e-17,2.949029909160572e-17
4500,2.388919670906344e-33,7.836477001266774e-18,1.832301671500502e-17
4600,1.509142229868511e-33,9.472601848260513e-18,2.775557561562891e-17
4700,1.483073732460707e-33,1.031031992544419e-17,2.862293735361732e-17
4800,1.542875979001234e-33,1.145197579670277e-17,2.775557561562891e-17
4900,2.178853070492082e-33,1.309800064851966e-17,3.122502256758253e-17
5000,2.532278619950371e-33,1.011083198032556e-17,1.734723475976807e-17
5100,2.731286779299792e-33,8.629419529699199e-18,1.734723475976807e-17
5200,9.909615154356409e-34,6.152286097288547e-18,1.853985714950213e-17
5300,2.324917294888252e-33,1.272763228004252e-17,2.623769257414921e-17
5400,1.386566116455937e-33,7.060548421213274e-18,1.431146867680866e-17
5500,1.782096455620621e-33,1.150469552140778e-17,2.775557561562891e-17
5600,1.892527096914270e-33,8.293975365768989e-18,1.734723475976807e-17
5700,1.319403423875660e-33,1.134103890046167e-17,2.775557561562891e-17
5800,5.233747067516396e-33,1.566657132911242e-17,3.615814245239157e-17
5900,1.973415478669282e-33,7.580872307202775e-18,1.734723475976807e-17
6000,1.078968397105645e-33,9.352131484284457e-18,2.775557561562891e-17
6100,2.657245417039449e-33,1.632984183211982e-17,3.469446951953614e-17
6200,4.320191884469762e-33,1.037050382415469e-17,3.035766082959412e-17
6300,2.028149992739261e-33,7.563718707526226e-18,1.387778780781446e-17
6400,1.987266299217662e-33,1.080961437391040e-17,2.775557561562891e-17
6500,2.009988134821317e-33,8.863979939441665e-18,2.081668171172169e-17
6600,2.321462164342881e-33,1.130569545170652e-17,2.125036258071589e-17
6700,1.664119140594693e-33,9.867520474776645e-18,2.602085213965211e-17
6800,2.484075350858233e-33,1.176783551791212e-17,3.122502256758253e-17
6900,1.911047833257520e-33,9.748222655501711e-18,2.645453300864631e-17
7000,1.333856126919020e-33,1.035068172871030e-17,2.775557561562891e-17
7100,2.126185751400100e-33,1.164918348910088e-17,2.428612866367530e-17
7200,1.999982914654293e-33,1.118756642995098e-17,2.645453300864631e-17
7300,1.612059434532651e-33,9.198035383261607e-18,2.775557561562891e-17
7400,1.618218672282654e-33,7.203569563358804e-18,1.387778780781446e-17
7500,1.542250469069803e-33,6.893719997530817e-18,1.908195823574488e-17
7600,9.383040411088470e-34,7.095783638506474e-18,1.734723475976807e-17
7700,2.470928768975430e-33,1.383258498076408e-17,2.558717127065790e-17
7800,2.258190475613260e-33,1.266166805281383e-17,3.111660235033398e-17
7900,3.175692968689956e-33,1.449715884448199e-17,3.469446951953614e-17
8000,2.765731790676838e-33,1.264258302789361e-17,3.122502256758253e-17
8100,1.657349703727177e-33,8.828162376954135e-18,2.081668171172169e-17
8200,1.644322434520983e-33,9.587462961921284e-18,2.385244779468110e-17
8300,2.521927708935290e-33,1.293787588113163e-17,2.775557561562891e-17
8400,1.462831198113929e-33,7.388674072972350e-18,1.387778780781446e-17
8500,2.037500109904572e-33,9.648206435961546e-18,2.775557561562891e-17
8600,1.566106891820871e-33,8.179998230945369e-18,2.081668171172169e-17
8700,1.931643787327713e-33,1.097696472425100e-17,2.775557561562891e-17
8800,1.778125429992032e-33,8.822684769587619e-18,1.908195823574488e-17
8900,1.468028815363403e-33,9.033910342916394e-18,1.734723475976807e-17
9000,1.521978363693262e-33,1.016478808158534e-17,3.079134169858833e-17
9100,9.756020066626978e-34,7.873857325192107e-18,2.038300084272748e-17
9200,1.355356388793300e-33,9.881542753923475e-18,2.775557561562891e-17
9300,1.685197282447592e-33,7.015920483845674e-18,1.908195823574488e-17
9400,2.796301696764323e-33,1.236326866399761e-17,3.295974604355933e-17
9500,2.064642039366188e-33,1.024005849938131e-17,2.211772431870429e-17
9600,1.568029060183335e-33,8.535318050527558e-18,2.255140518769849e-17
9700,1.670826981558225e-33,9.958959106387172e-18,2.352718714293545e-17
9800,1.182486896517589e-33,9.676537290003345e-18,2.081668171172169e-17
9900,1.800322760016349e-33,1.140505190742258e-17,3.122502256758253e-17
10000,1.493596405240963e-33,9.248573938169989e-18,2.081668171172169e-17
10100,1.498982520356431e-33,7.976184395312613e-18,2.775557561562891e-17
10200,3.406238561486503e-33,1.461697280726100e-17,4.163336342344337e-17
10300,2.839584339157080e-33,1.063925921673976e-17,2.385244779468110e-17
10400,1.405456435569926e-33,1.126599011015445e-17,2.775557561562891e-17
10500,2.515381380895561e-33,1.139805832634409e-17,2.775557561562891e-17
10600,2.861106700325155e-33,1.006770895691656e-17,2.775557561562891e-17
10700,1.673997172272958e-33,1.102327602330750e-17,2.602085213965211e-17
10800,2.002008996717370e-33,1.148246371086276e-17,2.775557561562891e-17
10900,2.503718280230335e-33,1.258996754188796e-17,2.949029909160572e-17
11000,2.191484462588278e-33,7.908317850874599e-18,1.734723475976807e-17
11100,2.552015926825166e-33,1.266003166282691e-17,3.295974604355933e-17
11200,1.079514678717831e-33,6.746534592738289e-18,2.081668171172169e-17
11300,1.822774672729696e-33,1.039344123448125e-17,2.168404344971009e-17
11400,1.918537760000013e-33,1.086136200130236e-17,2.775557561562891e-17
11500,1.775508515080872e-33,1.234923249707568e-17,2.667137344314341e-17
11600,2.485384969114484e-33,1.264761838602520e-17,2.775557561562891e-17
11700,2.359764597166349e-33,1.107720928563507e-17,2.775557561562891e-17
11800,2.321708547958813e-33,1.098986117728514e-17,2.775557561562891e-17
11900,1.984779893566803e-33,1.165185303741304e-17,2.775557561562891e-17
12000,1.146993373566968e-33,6.991920254930697e-18,1.387778780781446e-17
12100,1.642898683110107e-33,1.026998549354407e-17,2.255140518769849e-17
12200,1.622686726310130e-33,8.600486838368089e-18,1.973247953923618e-17
12300,1.285899718987394e-33,1.045806994669525e-17,2.775557561562891e-17
12400,2.276620346243193e-33,1.219789683694053e-17,2.775557561562891e-17
12500,3.459833610107514e-33,1.012502522403895e-17,2.190088388420719e-17
12600,1.842262135627063e-33,9.789631194697290e-18,2.081668171172169e-17
12700,1.595479792010913e-33,9.617984502785523e-18,2.168404344971009e-17
12800,1.510044656881638e-33,6.787688665339551e-18,1.734723475976807e-17
12900,9.263440913858407e-34,8.197965386449568e-18,1.864827736675068e-17
13000,1.797118333028649e-33,1.032648262900089e-17,2.602085213965211e-17
13100,1.618139914161149e-33,7.128605236474929e-18,1.593777193553692e-17
